id,hash,ignored,data,files
348,4972495,false,,"[8,49,50]"
349,6024526,false,,[8]
350,4844035,false,,"[8,49,50]"
351,346501,false,,"[8,31,49,50]"
352,302223,false,,"[8,12,15,31,43,49,50]"
353,497982,false,,"[8,50]"
354,1046580,false,,"[8,50]"
355,2547631,false,,"[8,50]"
356,5002150,false,,"[8,50]"
357,1642236,false,,"[8,50]"
358,987630,false,,"[8,48,49,50]"
359,239434,false,,"[8,48,49,50]"
360,743136,false,,"[8,50]"
361,7583545,false,,"[8,50]"
362,497115,false,,"[8,50]"
363,1723212,false,,"[8,48]"
364,2482831,false,,"[8,48]"
365,6381342,false,,[8]
366,5270091,false,,[8]
367,5098357,false,,[8]
368,548032,false,,"[8,30,52]"
369,388137,false,,"[8,30,52,53]"
370,587175,false,,[8]
371,1379496,false,,[8]
372,2543856,false,,"[8,48]"
373,4705881,false,,"[8,48]"
374,32885954,false,,"[9,45]"
375,19717268,false,,"[9,45]"
376,15247575,false,,"[9,45]"
377,493506,false,,"[9,45]"
378,2117902,false,,"[9,45]"
379,4373450,false,,"[9,45]"
380,340939,false,,"[9,45]"
381,79125,false,,"[9,45]"
382,3552070,false,,"[9,45]"
383,1676865,false,,"[9,45]"
384,528483,false,,"[9,45]"
385,467065,false,,"[9,45]"
386,1693816,false,,"[9,45]"
387,3935922,false,,"[9,45]"
388,4916960,false,,"[9,45]"
389,1922720,false,,"[9,45]"
390,3158754,false,,"[9,45]"
391,167373,false,,"[9,45]"
392,3588643,false,,"[9,45]"
393,5308896,false,,"[9,45]"
394,6229651,false,,"[9,45]"
395,3880400,false,,"[9,45]"
396,2002403,false,,"[9,45]"
397,1920330,false,,[9]
398,2089836,false,,"[9,45]"
399,3233483,false,,"[9,45]"
400,2637547,false,,"[9,45]"
401,980087,false,,"[9,45]"
402,74062,false,,"[9,45]"
403,1381041,false,,"[9,45]"
404,492139,false,,"[9,45]"
405,399580,false,,"[9,45]"
406,930095,false,,"[9,45]"
407,1237135,false,,"[9,45]"
408,1403935,false,,"[9,45]"
409,6854456,false,,"[9,45]"
410,11106231,false,,"[9,45]"
411,3935076,false,,"[9,45]"
412,538326,false,,"[9,45]"
413,2116769,false,,"[9,45]"
414,4369876,false,,"[9,45]"
415,737293,false,,"[9,45]"
416,736130,false,,"[9,45]"
417,421462,false,,"[9,45]"
418,845602,false,,"[9,45]"
419,3422399,false,,"[9,45]"
420,2573843,false,,"[9,45]"
421,559762,false,,"[9,45,46]"
422,7717144,false,,"[9,45]"
423,7636631,false,,"[9,45]"
424,4593913,false,,"[9,45]"
425,4243149,false,,"[9,45]"
426,2428186,false,,"[9,45]"
427,808794,false,,"[9,45]"
428,3637610,false,,"[9,45]"
429,6309029,false,,"[9,45]"
430,3734895,false,,"[9,45]"
431,2550351,false,,"[9,45]"
432,2475132,false,,"[9,45]"
433,181618,false,,"[9,45]"
434,25862,false,,"[9,45]"
435,1145942,false,,"[9,45]"
436,624189,false,,"[9,45]"
437,75601,false,,"[9,45]"
438,2245575,false,,"[9,45]"
439,2931027,false,,"[9,45]"
440,553185,false,,"[9,45]"
441,2103880,false,,"[9,45]"
442,998770,false,,"[9,45]"
443,6867004,false,,"[9,45]"
444,4802411,false,,"[9,45]"
445,3911169,false,,"[9,45]"
446,2046215,false,,"[9,45]"
447,3156304,false,,"[9,45]"
448,2560877,false,,"[9,45]"
449,398344,false,,"[9,45]"
450,1764278,false,,"[9,45]"
451,1695150,false,,"[9,45]"
452,2580468,false,,"[9,45]"
453,2785662,false,,"[9,45]"
454,5598374,false,,"[9,45]"
455,5101052,false,,"[9,45]"
456,1026263,false,,"[9,45]"
457,1776764,false,,"[9,33,45]"
458,1690462,false,,"[9,33,45]"
459,1387916,false,,"[9,45]"
460,1197267,false,,"[9,45]"
461,471124,false,,"[9,45]"
462,4407929,false,,"[9,45]"
463,713501,false,,"[9,45]"
464,2890161,false,,"[9,45]"
465,2276789,false,,"[9,45]"
466,1076284,false,,"[9,45]"
467,7092036,false,,"[9,45]"
468,4062430,false,,"[9,45]"
469,432663,false,,"[9,45]"
470,2590033,false,,"[9,45]"
471,3347024,false,,"[9,45]"
472,651476,false,,"[9,45]"
473,1415551,false,,"[9,45]"
474,1483490,false,,"[9,45]"
475,309064,false,,"[9,45]"
476,1423611,false,,"[9,45]"
477,6015771,false,,"[9,45]"
478,3265125,false,,"[9,45]"
479,1032454,false,,"[9,45]"
480,2914499,false,,"[9,32,45]"
481,752032,false,,"[9,45]"
482,321402,false,,"[9,45]"
483,6684703,false,,"[9,45]"
484,8416413,false,,"[9,45]"
485,2985101,false,,"[9,45]"
486,4439797,false,,"[9,45]"
487,1770165,false,,"[9,45,49,50,53]"
488,2717431,false,,"[9,45,49,50,53]"
489,1826736,false,,"[9,45,53]"
490,4089594,false,,"[9,45,53]"
491,4617164,false,,"[9,45,53]"
492,4815927,false,,"[9,34,45,53]"
493,4104355,false,,"[9,45,53]"
494,3500462,false,,"[9,45,53]"
495,3304169,false,,"[9,45,53]"
496,1108578,false,,"[9,45,53]"
497,470407,false,,"[9,45,53]"
498,287182,false,,"[9,45,53]"
499,200315,false,,"[9,45]"
500,1189174,false,,"[9,45]"
501,180081,false,,"[9,45,53]"
502,1040644,false,,"[9,45]"
503,1209524,false,,"[9,45]"
504,1519666,false,,"[9,45]"
505,1634378,false,,"[9,45]"
506,4857674,false,,"[9,45]"
507,140713,false,,"[9,45]"
508,1848806,false,,"[9,45,50]"
509,899613,false,,"[9,45]"
510,1203467,false,,"[9,45]"
511,1120866,false,,"[9,45]"
512,7359477,false,,"[9,45]"
513,5554887,false,,"[9,45]"
514,1501916,false,,"[9,45]"
515,1203408,false,,"[9,45]"
516,969918,false,,"[9,45]"
517,2233040,false,,"[9,45]"
518,1020165,false,,"[9,45]"
519,1580119,false,,"[9,45]"
520,4703637,false,,"[9,45]"
521,118541,false,,"[9,45]"
522,5106512,false,,"[9,45]"
523,5460,false,,"[9,45]"
524,1251169,false,,"[9,45]"
525,3138117,false,,"[9,45]"
526,2600054,false,,"[9,45]"
527,560067,false,,"[9,45,49]"
528,4945919,false,,"[9,45]"
529,1275602,false,,"[9,45]"
530,3488960,false,,"[9,45]"
531,1906099,false,,"[9,45]"
532,1958646,false,,"[9,45]"
533,2417439,false,,"[9,45]"
534,3907164,false,,"[9,45,53]"
535,3719971,false,,"[9,45,53]"
536,3604199,false,,"[9,45,53]"
537,3094169,false,,"[9,45,53]"
538,6108559,false,,"[9,45,53]"
539,2477727,false,,"[9,45,53]"
540,3399808,false,,"[9,45,53]"
541,5972241,false,,"[9,45]"
542,4359493,false,,"[9,45]"
543,5266977,false,,"[9,45]"
544,2630903,false,,"[9,45]"
545,2464842,false,,"[9,45]"
546,1715043,false,,"[9,45]"
547,3033134,false,,"[9,45]"
548,861028,false,,"[9,45]"
549,3273991,false,,"[9,45]"
550,11463704,false,,"[9,45]"
551,3180083,false,,"[9,45]"
552,1962991,false,,"[9,45]"
553,2029064,false,,"[9,45]"
554,5513617,false,,"[9,45]"
555,3144041,false,,"[9,45]"
556,6087117,false,,"[9,45]"
557,4698190,false,,"[9,45]"
558,1820880,false,,"[9,45]"
559,2350363,false,,"[9,45]"
560,2463461,false,,"[9,45]"
561,7454780,false,,"[9,45]"
562,3081396,false,,"[9,45]"
563,681635,false,,"[9,45]"
564,257176,false,,"[9,45]"
565,149517,false,,"[9,16,45]"
566,720546,false,,"[9,45]"
567,6309614,false,,"[9,45]"
568,2885658,false,,"[9,45]"
569,2474454,false,,"[9,45]"
570,1005762,false,,"[9,45]"
571,1336365,false,,"[9,45,50]"
572,2487281,false,,"[9,24,45,50]"
573,81148,false,,"[9,20,35,45,52]"
574,9578626,false,,"[9,45]"
575,8198032,false,,"[9,45]"
576,3113317,false,,"[9,45]"
577,989437,false,,"[9,45]"
578,982519,false,,"[9,45]"
579,6116094,false,,"[9,45]"
580,1671916,false,,"[9,45]"
581,4050455,false,,"[9,45]"
582,98206,false,,"[9,45]"
583,1764080,false,,"[9,45]"
584,3687314,false,,"[9,45]"
585,1467510,false,,"[9,17,45]"
586,3533778,false,,"[9,17,45]"
587,6366276,false,,"[9,17,45]"
588,6647715,false,,"[9,17,45]"
589,286967,false,,"[9,17,45]"
590,2006186,false,,"[9,45]"
591,968080,false,,"[9,27,30,45]"
592,2231648,false,,"[9,25,45]"
593,7118535,false,,"[9,45]"
594,7880089,false,,"[9,45]"
595,2086729,false,,"[9,45]"
596,590802,false,,"[9,45,53]"
597,163385,false,,"[9,45,53]"
598,1861183,false,,"[9,45,53]"
599,3837103,false,,"[9,45,53]"
600,3732874,false,,"[9,45,53]"
601,1731745,false,,"[9,45,53]"
602,6918701,false,,"[9,45]"
603,3225988,false,,"[9,45]"
604,3028033,false,,"[9,45]"
605,201277,false,,"[9,45,53]"
606,4028459,false,,"[9,45,53]"
607,1542528,false,,"[9,45]"
608,241680,false,,"[9,45]"
609,691687,false,,"[9,45]"
610,3083305,false,,"[9,45]"
611,250280,false,,"[9,45]"
612,3780667,false,,"[9,45]"
613,2483389,false,,"[9,45]"
614,1488532,false,,"[9,45]"
615,2042806,false,,"[9,45]"
616,12421340,false,,"[9,45]"
617,1805489,false,,"[9,45]"
618,2568614,false,,"[9,45,53]"
619,978463,false,,"[9,45]"
620,1299042,false,,"[9,45]"
621,1381262,false,,"[9,45]"
622,3248265,false,,"[9,45]"
623,4322185,false,,"[9,45]"
624,5589488,false,,"[9,45]"
625,3410569,false,,"[9,45]"
626,505568,false,,"[9,45]"
627,6086411,false,,"[9,45]"
628,2561814,false,,"[9,45]"
629,881550,false,,"[9,45]"
630,2490464,false,,"[9,45]"
631,2642571,false,,"[9,45]"
632,9020597,false,,"[9,45]"
633,8377271,false,,"[9,45]"
634,2447853,false,,"[9,45]"
635,430237,false,,"[9,45]"
636,1648883,false,,"[9,45]"
637,2884581,false,,"[9,45]"
638,572981,false,,"[9,45]"
639,2767261,false,,"[9,45]"
640,1760550,false,,"[9,45]"
641,2238771,false,,"[9,45]"
642,1939084,false,,"[9,45]"
643,3560,false,,"[9,45]"
644,1506723,false,,"[9,45]"
645,1062744,false,,"[9,45]"
646,2289815,false,,"[9,45]"
647,834045,false,,"[9,45]"
648,469081,false,,"[9,45]"
